word,phonetic,translation,example,example_translation,level,difficulty,topic,subtopic,exam_tags,part_of_speech
assure,/əˈʃʊr/,向...保證,I assure you that the report is accurate.,我向您保證報告是準確的。,Advanced,4,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
attach,/əˈtætʃ/,附上，連結,Please attach your resume to the email.,請將您的簡歷附在電子郵件中。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
attain,/əˈteɪn/,達到，獲得,She worked hard to attain her position.,她努力工作以獲得她的職位。,Intermediate,3,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
attend,/əˈtend/,出席，參加,All staff members must attend the seminar.,所有員工必須參加研討會。,Advanced,4,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
attorney,/əˈtɜːrni/,律師，代理人,Consult our corporate attorney before signing.,在簽約前請先諮詢我們的公司律師。,Intermediate,3,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",n.
attract,/əˈtrækt/,吸引,The event aims to attract new customers.,該活動旨在吸引新客戶。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
attribute,/əˈtrɪbjuːt/,歸因於,He attributes his success to hard work.,他將他的成功歸因於努力工作。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
audit,/ˈɔːdɪt/,審計，查帳,An independent firm will audit our accounts.,一家獨立的公司將審計我們的帳目。,Intermediate,2,Finance,Accounting,"TOEIC,Reading,Part6,Part7",n./v.
auditor,/ˈɔːdɪtər/,審計員，查帳員,External auditors will review the ledger tomorrow.,外部審計員將於明天審查分類帳。,Intermediate,3,Finance,Accounting,"TOEIC,Reading,Part6,Part7",n.
authorize,/ˈɔːθəraɪz/,授權，批准,The director must authorize the payment.,董事必須授權付款。,Advanced,4,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
banquet,/ˈbæŋkwɪt/,宴會，盛宴,The annual awards banquet takes place on Friday.,年度頒獎晚宴將於週五舉行。,Beginner,2,Travel,Hospitality,"TOEIC,Listening,Reading,Part3,Part7",n.
barrier,/ˈbæriər/,障礙，阻礙,Language should not be a barrier to friendship.,語言不應該成為友誼的障礙。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
base,/beɪs/,基部，根據,The company is based in New York.,該公司總部位於紐約。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",n.
benefit,/ˈbenɪfɪt/,利益，得益,The new policy will benefit local businesses.,新政策將使本地企業受益。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
beverage,/ˈbevərɪdʒ/,飲料,Complimentary beverages are served in the lounge.,貴賓室內免費提供飲料。,Beginner,1,Travel,Dining,"TOEIC,Listening,Reading,Part3,Part7",n.
bias,/ˈbaɪəs/,偏見，偏袒,The journalist wrote the report without bias.,記者毫無偏見地撰寫了這篇報導。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
bid,/bɪd/,出價，投標,We decided to submit a bid for the project.,我們決定為該項目提交投標。,Advanced,4,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
bill,/bɪl/,帳單，票據,Please send us the bill for the services.,請將服務帳單寄給我們。,Beginner,1,Finance,BankingAndAccounting,"TOEIC,Reading,Part6,Part7",n.
board,/bɔːrd/,董事會，登機,The board of directors meets monthly.,董事會每月召開一次會議。,Intermediate,2,Corporate,Governance,"TOEIC,Reading,Part5,Part7",n.
borrow,/ˈbɑːroʊ/,借，借入,We need to borrow money from the bank.,我們需要向銀行借錢。,Advanced,4,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
brief,/briːf/,簡短的，短暫的,Let's have a brief meeting before we start.,在我們開始之前，讓我們開個簡短的會。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",adj.
brochure,/broʊˈʃʊr/,小冊子，簡介手冊,Please hand out the promotional brochure.,請發放宣傳手冊。,Beginner,2,Marketing,Promotion,"TOEIC,Listening,Reading,Part3,Part7",n.
budget,/ˈbʌdʒɪt/,預算,We must operate within our annual budget.,我們必須在年度預算內運行。,Beginner,2,Finance,Budgeting,"TOEIC,Reading,Part6,Part7",n./v.
build,/bɪld/,建造，建立,We want to build a strong relationship with clients.,我們希望與客戶建立牢固的關係。,Intermediate,3,Manufacturing,OperationsAndQuality,"TOEIC,Reading,Part5,Part7",v.
calculate,/ˈkælkjuːleɪt/,計算，估算,We need to calculate the total cost.,我們需要計算總成本。,Advanced,4,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
call,/kɔːl/,呼叫，電話,I will call a meeting for tomorrow afternoon.,我將召集明天下午的會議。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
campaign,/kæmˈpeɪn/,活動，戰役,The marketing campaign was very successful.,行銷活動非常成功。,Intermediate,2,Marketing,Advertising,"TOEIC,Listening,Reading,Part3,Part7",n.
cancel,/ˈkænsl/,取消，撤銷,We had to cancel the flight due to weather.,由於天氣原因，我們不得不取消航班。,Advanced,4,Marketing,SalesAndPromotions,"TOEIC,Listening,Reading,Part3,Part7",v.
candidate,/ˈkændɪdət/,候選人，應試者,She is the most qualified candidate for CEO.,她是執行長職位最合適的候選人。,Beginner,1,HumanResources,Recruitment,"TOEIC,Listening,Reading,Part3,Part7",n.
capacity,/kəˈpæsəti/,容量，能力,"The stadium has a seating capacity of 50,000.",該體育場可容納5萬個座位。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
capital,/ˈkæpɪtl/,資本，資金,We need more capital to expand the business.,我們需要更多資金來擴大業務。,Intermediate,2,Finance,Investments,"TOEIC,Reading,Part6,Part7",n.
career,/kəˈrɪr/,職業，生涯,She plans to pursue a career in finance.,她計劃從事金融事業。,Advanced,1,HumanResources,Development,"TOEIC,Listening,Reading,Part3,Part7",n.
carry,/ˈkæri/,攜帶，運載,All stores carry a wide range of products.,所有商店都銷售各式各樣的產品。,Beginner,1,Travel,LogisticsAndTransit,"TOEIC,Listening,Reading,Part3,Part7",v.
case,/keɪs/,案例，箱子,This is a unique case of market expansion.,這是一個獨特的市場擴張案例。,Intermediate,3,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",n.
category,/ˈkætəɡɔːri/,類別，範疇,The books are divided into three categories.,這些書分為三類。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
catering,/ˈkeɪtərɪŋ/,餐飲服務，承辦酒席,We hired a professional catering company.,我們聘請了一家專業的餐飲服務公司。,Beginner,2,Travel,Dining,"TOEIC,Listening,Reading,Part3,Part7",n.
celebrate,/ˈselɪbreɪt/,慶祝,We will celebrate our anniversary tomorrow.,我們明天將慶祝週年紀念日。,Advanced,4,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
certificate,/sərˈtɪfɪkət/,證書，執照,You will receive a certificate upon completion.,完成後您將獲得結業證書。,Beginner,2,HumanResources,Qualifications,"TOEIC,Listening,Reading,Part3,Part7",n.
certify,/ˈsɜːrtɪfaɪ/,證明，保證,This document will certify your completion.,此文件將證明您已完成課程。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
chain,/tʃeɪn/,鏈條，連鎖店,They operate a chain of supermarkets.,他們經營一家連鎖超市。,Intermediate,3,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
challenge,/ˈtʃælɪndʒ/,挑戰,Meeting the deadline is a major challenge.,在截止日期前完成是一個重大挑戰。,Advanced,4,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
channel,/ˈtʃænl/,頻道，渠道,We need to find a better channel of communication.,我們需要尋找更好的溝通渠道。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
charge,/tʃɑːrdʒ/,收費，負責,We do not charge for delivery services.,我們不收取送貨服務費。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
check,/tʃek/,檢查，支票,Please check the document for errors.,請檢查文件是否有錯誤。,Intermediate,3,Travel,LogisticsAndTransit,"TOEIC,Listening,Reading,Part3,Part7",v.
claim,/kleɪm/,聲稱，索賠,You can file a claim for travel expenses.,您可以申請差旅費報銷。,Advanced,4,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
clarify,/ˈklærəfaɪ/,澄清，闡明,Could you please clarify your question?,能請你澄清一下你的問題嗎？,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
class,/klæs/,班級，種類,The training class will begin at 9 AM.,培訓班將於上午9點開始。,Intermediate,3,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
clientele,/ˌklaɪənˈtel/,客戶群，全體顧客,The luxury hotel attracts a wealthy clientele.,這家豪華酒店吸引了富裕的客戶群。,Advanced,4,Marketing,Sales,"TOEIC,Listening,Reading,Part3,Part7",n.
close,/kloʊz/,關閉，結束,We will close the office early on Friday.,我們將在週五提早關閉辦公室。,Advanced,4,Travel,LogisticsAndTransit,"TOEIC,Listening,Reading,Part3,Part7",v.
coherent,/koʊˈhɪrənt/,連貫的，條理清楚的,His argument was not very coherent.,他的論點不是很連貫。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",adj.
coincide,/ˌkoʊɪnˈsaɪd/,同時發生，一致,Our holidays coincide with theirs.,我們的假期與他們的假期重疊。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
collaborate,/kəˈlæbəreɪt/,合作，協作,Our team will collaborate on this project.,我們的團隊將在這個項目上進行合作。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
collapse,/kəˈlæps/,倒塌，崩潰,The building collapsed during the earthquake.,這棟建築在地震中倒塌了。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
colleague,/ˈkɑːliːɡ/,同事，同僚,I discussed the proposal with my colleague.,我和我的同事討論了該提案。,Beginner,1,Corporate,Workplace,"TOEIC,Reading,Part5,Part7",n.
collect,/kəˈlekt/,收集，徵收,We need to collect feedback from users.,我們需要收集用戶的反饋。,Intermediate,3,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
combine,/kəmˈbaɪn/,結合，聯合,The two departments will combine their budgets.,這兩個部門將合併預算。,Advanced,4,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
command,/kəˈmænd/,命令，指揮,He has a good command of business English.,他精通商務英語。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
commence,/kəˈmens/,開始，倡導,The ceremony will commence at 10 AM.,儀式將於上午10點開始。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
comment,/ˈkɑːment/,評論，意見,Please write your comment on the form.,請在表格上寫下您的意見。,Advanced,4,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
commit,/kəˈmɪt/,承諾，犯錯,We commit to providing high-quality service.,我們承諾提供高品質的服務。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
communicate,/kəˈmjuːnɪkeɪt/,溝通，傳達,Managers must communicate clearly with staff.,經理必須與員工進行清晰的溝通。,Intermediate,3,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
commute,/kəˈmjuːt/,通勤，通學,He has a thirty-minute commute to work.,他上班通勤需要三十分鐘。,Beginner,2,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",n./v.
compare,/kəmˈper/,比較，對照,We should compare the prices of different vendors.,我們應該比較不同廠商的價格。,Advanced,4,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
compensate,/ˈkɑːmpenseɪt/,補償，給報酬,The company will compensate you for overtime.,公司將為您的加班提供補償。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
compensation,/ˌkɑːmpenˈseɪʃn/,薪酬，補償金,The compensation package includes stock options.,薪酬待遇包括股票選擇權。,Intermediate,3,HumanResources,Payroll,"TOEIC,Listening,Reading,Part3,Part7",n.
compete,/kəˈpiːt/,競爭,We must compete with international brands.,我們必須與國際品牌競爭。,Intermediate,3,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
competitor,/kəmˈpetɪtər/,競爭者，對手,We must monitor our main competitor's pricing.,我們必須密切監控主要競爭對手的定價。,Beginner,2,Marketing,Strategy,"TOEIC,Listening,Reading,Part3,Part7",n.
compile,/kəˈpaɪl/,彙編，編輯,We need to compile all the test results.,我們需要彙編所有的測試結果。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
complain,/kəmˈpleɪn/,投訴，抱怨,Customers complain about the service quality.,客戶投訴服務品質。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
complaint,/kəmˈpleɪnt/,投訴，抱怨,The manager handled the customer complaint well.,經理妥善處理了顧客投訴。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
complement,/ˈkɑːmplɪment/,補充，相輔相成,The red wine complements the steak perfectly.,紅酒與牛排完美搭配。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
complete,/kəmˈpliːt/,完成，完整的,Please complete the application form.,請填寫申請表。,Intermediate,3,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",adj.
complex,/kəmˈpleks/,複雜的,The brain is a complex organ.,大腦是一個複雜的器官。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",adj.
compliance,/kəmˈplaɪəns/,合規，順從,All operations must ensure safety compliance.,所有營運必須確保符合安全規範。,Intermediate,3,Legal,Regulations,"TOEIC,Reading,Part6,Part7",n.
complimentary,/ˌkɑːmplɪˈmentri/,免費贈送的，讚美的,Breakfast is complimentary for hotel guests.,酒店房客可享用免費早餐。,Beginner,2,Travel,Hospitality,"TOEIC,Listening,Reading,Part3,Part7",adj.
comply,/kəˈplaɪ/,遵守，順從,We must comply with the safety regulations.,我們必須遵守安全規範。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
component,/kəmˈpoʊnənt/,組件，成分,Trust is a vital component of any relationship.,信任是任何關係中至關重要的成分。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
compose,/kəmˈpoʊz/,組成，寫作,She needs to compose a formal email.,她需要撰寫一封正式的電子郵件。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
comprehensive,/ˌkɑːmprɪˈhensɪv/,全面的，廣泛的,This is a comprehensive guide to learning Swift.,這是學習 Swift 的全面指南。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",adj.
compromise,/ˈkɑːmprəmaɪz/,妥協，妥協案,We reached a compromise after negotiations.,我們在談判後達成了妥協。,Intermediate,3,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",n.
compute,/kəmˈpjuːt/,計算，估算,We use a server to compute the monthly data.,我們使用伺服器來計算月度數據。,Advanced,4,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
concede,/kənˈsiːd/,承認，讓步,He was forced to concede defeat.,他被迫承認失敗。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
conceive,/kənˈsiːv/,構想，設想,They conceive a new marketing plan.,他們構思了一個新的行銷計劃。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
concentrate,/ˈkɑːnsnteɪt/,集中，專注,I can't concentrate on my study with this noise.,伴隨着噪音，我無法集中精力學習。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
concern,/kənˈsɜːrn/,關心，涉及,The report concerns the company's growth.,該報告涉及公司的增長。,Advanced,4,Travel,LogisticsAndTransit,"TOEIC,Listening,Reading,Part3,Part7",v.
conclude,/kənˈkluːd/,得出結論，結束,We can conclude that the experiment was a success.,我們可以得出結論，實驗是成功的。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
condition,/kənˈdɪʃn/,條件，狀況,The office is in excellent condition.,辦公室狀況良好。,Intermediate,3,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
conduct,/kənˈdʌkt/,進行，實施,The company will conduct a customer satisfaction survey.,公司將進行一項客戶滿意度調查。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
confer,/kənˈfɜːr/,協商，授予,The managers will confer on the budget.,經理們將商討預算。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",n.
conference,/ˈkɑːnfərəns/,會議，研討會,The regional sales conference is next month.,區域銷售會議定於下個月舉行。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",n.
confidential,/ˌkɑːnfɪˈdenʃl/,機密的，保密的,Keep this proprietary information confidential.,請對這份專有資訊嚴加保密。,Intermediate,2,Legal,Privacy,"TOEIC,Reading,Part6,Part7",adj.
confine,/kənˈfaɪn/,限制，監禁,Please confine your comments to the topic.,請將您的評論限制在該主題之內。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
confirm,/kənˈfɜːrm/,確認，證實,I want to confirm my flight reservation.,我想確認我的航班預訂。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
conflict,/ˈkɑːnflɪkt/,衝突，矛盾,There is a schedule conflict tomorrow.,明天有日程衝突。,Advanced,4,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
confront,/kənˈfrʌnt/,面對，對抗,We must confront these challenges directly.,我們必須直接面對這些挑戰。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
congratulate,/kənˈɡrætʃuleɪt/,祝賀，恭喜,We congratulate him on his promotion.,我們祝賀他獲得晉升。,Intermediate,3,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
connect,/kəˈnekt/,連接，聯絡,The system will connect automatically.,系統將自動連接。,Advanced,4,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
consensus,/kənˈsensəs/,共識，一致意見,The board reached a consensus on the budget.,董事會就預算達成了共識。,Intermediate,3,Corporate,Meetings,"TOEIC,Reading,Part5,Part7",n.
consent,/kənˈsent/,同意，准許,You need written consent from your parents.,你需要父母的書面同意。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
consequence,/ˈkɑːnsəkwens/,後果，影響,You must accept the consequences of your actions.,你必須承擔你行為的後果。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
