word,phonetic,translation,example,example_translation,level,difficulty,topic,subtopic,exam_tags,part_of_speech
drink,/ˈdɹɪŋk/,飲品,The conference attendees can enjoy complimentary drinks and snacks during the networking session.,與會者可以在交流環節享用免費的飲品和點心。,toeic_basic,1,Technical,ITSupport,"TOEIC,Reading,Part5,Part7",n./v.
drive,/ˈdɹaɪv/,駕駛,The company provides shuttle drives for employees to and from the airport.,公司為員工提供機場接駁車服務。,toeic_basic,1,HumanResources,Compensation,"TOEIC,Reading,Part5,Part7",v./n.
east,/ˈist/,東方,The company's headquarters are located in the east of the city.,該公司的總部位於市區的東邊。,toeic_basic,1,Technical,ITSupport,"TOEIC,Reading,Part5,Part7",n./adv.
eat,/ˈit/,攝取食物,The company provides employees with a complimentary lunch in the cafeteria.,公司在餐廳為員工提供免費午餐。,toeic_basic,1,HumanResources,Compensation,"TOEIC,Reading,Part5,Part7",v.
eaten,/ˈitən/,被食用,All the catered lunches were eaten by the conference attendees.,所有的餐點都被參加研討會的人們吃完了。,toeic_basic,1,Travel,Dining,"TOEIC,Reading,Part5,Part7",v.
eggs,/ˈɛɡz/,雞蛋,"The hotel breakfast buffet includes a variety of eggs, such as scrambled, fried, and boiled.",飯店的早餐自助餐提供多種雞蛋料理，例如炒蛋、荷包蛋和水煮蛋。,toeic_basic,1,Travel,Hospitality,"TOEIC,Reading,Part5,Part7",n.
exit,/ˈɛɡzɪt/,出口,Please follow the signs to the nearest exit in case of an emergency.,萬一發生緊急狀況，請依照指示前往最近的出口。,toeic_basic,1,Technical,ITSupport,"TOEIC,Reading,Part5,Part7",n./v.
fly,/ˈfɫaɪ/,飛行,The company's policy requires all employees to fly business class for international trips.,公司的政策規定所有員工在國際旅行時必須乘坐商務艙。,toeic_basic,1,HumanResources,Compensation,"TOEIC,Reading,Part5,Part7",v./n.
fork,/ˈfɔɹk/,叉子,The restaurant provides each guest with a fork and a knife.,餐廳為每位客人提供叉子和刀。,toeic_basic,1,Travel,Hospitality,"TOEIC,Reading,Part5,Part7",n./v.
fruit,/ˈfɹut/,水果; 果實; 成果,She enjoys eating fresh fruit every morning.,她喜歡每天早上吃新鮮水果。,toeic_basic,1,Technical,ITSupport,"TOEIC,Reading,Part5,Part7",n./v.
gate,/ˈɡeɪt/,入口，閘門,Passengers are reminded to proceed to Gate 12 for their flight to Tokyo.,乘客請注意，前往東京的航班請前往 12 號閘門登機。,toeic_basic,1,Travel,Transit,"TOEIC,Reading,Part5,Part7",n./v.
gates,/ˈɡeɪts/,入口大門,Passengers are reminded to check the departure gates on the information screens.,乘客請注意在資訊螢幕上查看登機口。,toeic_basic,1,Travel,Transit,"TOEIC,Reading,Part5,Part7",n.
glass,/ˈɡɫæs/,玻璃製品,"Could I have a glass of water, please?",請問可以給我一杯水嗎？,toeic_basic,1,Travel,Dining,"TOEIC,Reading,Part5,Part7",n.
guest,/ˈɡɛst/,賓客,The hotel staff are trained to ensure all guests have a comfortable stay.,飯店員工接受訓練，以確保所有賓客都能享受舒適的住宿體驗。,toeic_basic,1,HumanResources,Compensation,"TOEIC,Reading,Part5,Part7",n.
hotel,/hoʊˈtɛɫ/,旅館,The company negotiated a discounted rate for the conference attendees at the nearby hotel.,公司就附近飯店的住宿費與會者議價成功，獲得了折扣。,toeic_basic,1,Marketing,Sales,"TOEIC,Reading,Part5,Part7",n.
juice,/ˈdʒus/,果汁,The hotel offers a complimentary breakfast buffet with fresh juice and pastries.,飯店提供免費的早餐自助餐，包含新鮮果汁和麵包點心。,toeic_basic,1,Travel,Hospitality,"TOEIC,Reading,Part5,Part7",n.
july,/ˌdʒuˈɫaɪ/,七月，一年中的第七個月。,The annual sales conference is scheduled for July 15th.,年度銷售會議預計在七月十五日舉行。,toeic_basic,1,Marketing,Sales,"TOEIC,Reading,Part5,Part7",n.
knife,/ˈnaɪf/,刀子,The restaurant provides each guest with a steak knife and a fork.,餐廳為每位客人提供一隻牛排刀和一隻叉子。,toeic_basic,1,Travel,Hospitality,"TOEIC,Reading,Part5,Part7",n.
lake,/ˈɫeɪk/,湖泊,The company is considering a team-building retreat near a scenic lake.,公司正在考慮在風景如畫的湖泊附近舉辦團隊建設活動。,toeic_basic,1,Travel,Hospitality,"TOEIC,Reading,Part5,Part7",n.
lunch,/ˈɫəntʃ/,午餐,The meeting will be adjourned for lunch at 12:30 PM.,會議將於下午 12:30 暫停午餐。,toeic_basic,1,CorporateGovernance,CorporateStrategy,"TOEIC,Reading,Part5,Part7",n.
meal,/ˈmiɫ/,膳食,The company provides employees with a complimentary lunch meal.,公司為員工提供免費午餐。,toeic_basic,1,HumanResources,Compensation,"TOEIC,Reading,Part5,Part7",n.
meals,/ˈmiɫz/,膳食,The company provides employees with complimentary meals in the cafeteria.,公司在餐廳為員工提供免費餐點。,toeic_basic,1,HumanResources,Compensation,"TOEIC,Reading,Part5,Part7",n.
menu,/ˈmɛnju/,菜單,Could you please bring me a menu so I can decide what to order?,您能給我一份菜單，讓我決定要點什麼嗎？,toeic_basic,1,Travel,Dining,"TOEIC,Reading,Part5,Part7",n.
mile,/ˈmaɪɫ/,英里,The nearest gas station is about two miles down the road.,最近的加油站大約在前方兩英里處。,toeic_basic,1,Travel,Transit,"TOEIC,Reading,Part5,Part7",n.
north,/ˈnɔɹθ/,北部,The company's headquarters are located in the north of the city.,該公司的總部位於市的北部。,toeic_basic,1,Technical,ITSupport,"TOEIC,Reading,Part5,Part7",n./adv.
ocean,/ˈoʊʃən/,廣闊的海洋，通常指大洋。,The shipping company is experiencing delays due to rough ocean conditions.,由於海況不佳，該航運公司正在經歷延誤。,toeic_basic,1,Technical,ITSupport,"TOEIC,Reading,Part5,Part7",n.
pack,/ˈpæk/,打包,The logistics team needs to pack the fragile goods carefully to prevent damage during shipping.,物流團隊需要小心地打包易碎物品，以防止運輸過程中損壞。,toeic_basic,1,Travel,Transit,"TOEIC,Reading,Part5,Part7",v./n.
plane,/ˈpɫeɪn/,飛機,The plane departed on time despite the bad weather.,儘管天氣惡劣，飛機仍準時起飛。,toeic_basic,1,Technical,ITSupport,"TOEIC,Reading,Part5,Part7",n./v.
plate,/ˈpɫeɪt/,餐盤,The restaurant provides each guest with a clean plate and silverware.,餐廳為每位客人提供乾淨的餐盤和餐具。,toeic_basic,1,Travel,Hospitality,"TOEIC,Reading,Part5,Part7",n.
rains,/ˈɹeɪnz/,降雨,The flight has been delayed due to heavy rains in the area.,由於該地區降雨量大，航班已延誤。,toeic_basic,1,Travel,Transit,"TOEIC,Reading,Part5,Part7",v.
rainy,/ˈɹeɪni/,多雨的,The flight was delayed due to the rainy weather conditions.,由於多雨的天氣狀況，航班延誤了。,toeic_basic,1,Travel,Transit,"TOEIC,Reading,Part5,Part7",adj.
ride,/ˈɹaɪd/,搭乘交通工具,Employees are encouraged to ride their bikes to work to reduce carbon emissions.,鼓勵員工騎自行車上班，以減少碳排放。,toeic_basic,1,HumanResources,Compensation,"TOEIC,Reading,Part5,Part7",v./n.
road,/ˈɹoʊd/,道路,The new highway will reduce delivery times for our trucks.,新高速公路將縮短我們卡車的送貨時間。,toeic_basic,1,Logistics,Transit,"TOEIC,Reading,Part5,Part7",n.
salad,/ˈsæɫəd/,沙拉，通常指由蔬菜，水果，肉類等混合製成的冷盤菜餚。,The company cafeteria offers a variety of healthy salads for employees.,公司食堂為員工提供多種健康的沙拉。,toeic_basic,1,HumanResources,Compensation,"TOEIC,Reading,Part5,Part7",n.
sea,/ˈsi/,海洋,The shipping company announced a delay due to rough seas.,該航運公司宣布因海況不佳而延誤送貨。,toeic_basic,1,Travel,Transit,"TOEIC,Reading,Part5,Part7",n.
seat,/ˈsit/,座位,Could you please reserve a window seat for me on the flight to Tokyo?,您能幫我在飛往東京的航班上預訂靠窗的座位嗎？,toeic_basic,1,Travel,Transit,"TOEIC,Reading,Part5,Part7",n./v.
seats,/ˈsits/,座位,Please ensure all passengers are seated before takeoff.,請確保所有乘客起飛前都已就座。,toeic_basic,1,Travel,Transit,"TOEIC,Reading,Part5,Part7",n.
signs,/ˈsaɪnz/,標誌,Please pay attention to the signs indicating the exit route in case of an emergency.,請注意指示緊急出口路線的標誌，以防萬一。,toeic_basic,1,Technical,ITSupport,"TOEIC,Reading,Part5,Part7",n.
snack,/ˈsnæk/,點心，零食,The vending machine offers a variety of snacks and drinks for employees.,自動販賣機為員工提供多種點心和飲料。,toeic_basic,1,Manufacturing,Production,"TOEIC,Reading,Part5,Part7",n.
snow,/ˈsnoʊ/,降雪,"Due to heavy snow, all flights to the airport have been cancelled.",由於降雪嚴重，所有飛往機場的航班都已取消。,toeic_basic,1,Travel,Transit,"TOEIC,Reading,Part5,Part7",n.
soup,/ˈsup/,湯,The chef prepared a delicious tomato soup for dinner.,廚師為晚餐準備了一道美味的番茄湯。,toeic_basic,1,Travel,Hospitality,"TOEIC,Reading,Part5,Part7",n.
south,/ˈsaʊθ/,南方,The company's headquarters are located in the south of France.,該公司的總部位於法國南部。,toeic_basic,1,Travel,Transit,"TOEIC,Reading,Part5,Part7",n./adv.
stars,/ˈstɑɹz/,星級,"The hotel boasts a five-star rating, ensuring a luxurious experience for guests.",這家飯店擁有五星級評等，確保了賓客的奢華體驗。,toeic_basic,1,Travel,Hospitality,"TOEIC,Reading,Part5,Part7",n.
stay,/ˈsteɪ/,逗留,The conference attendees are encouraged to stay at the hotel for the entire duration of the event.,會議參與者建議在活動整個期間住宿於飯店。,toeic_basic,1,Travel,Hospitality,"TOEIC,Reading,Part5,Part7",v./n.
stays,/ˈsteɪz/,停留,The conference attendees will stay at the Grand Hotel.,會議的參加者將入住大華酒店。,toeic_basic,1,Travel,Hospitality,"TOEIC,Reading,Part5,Part7",v.
sugar,/ˈʃʊɡɝ/,糖,"The hotel offers a variety of sweeteners, including sugar and artificial sweeteners, for guests' coffee and tea.",飯店為客人提供的咖啡和茶有各種甜味劑，包括糖和人工甜味劑。,toeic_basic,1,Travel,Hospitality,"TOEIC,Reading,Part5,Part7",n.
sunny,/ˈsəni/,陽光的,The sunny weather is perfect for a company picnic in the park.,陽好的天氣非常適合在公園裡舉辦公司野餐。,toeic_basic,1,Travel,Transit,"TOEIC,Reading,Part5,Part7",adj.
swim,/ˈswɪm/,游泳,The company offers wellness programs that include swimming lessons for employees.,公司提供健康計畫，其中包含員工游泳課程。,toeic_basic,1,HumanResources,Compensation,"TOEIC,Reading,Part5,Part7",v.
taxi,/ˈtæksi/,計程車,The company will reimburse employees for taxi fares incurred during business trips.,公司將會退償員工在商務旅行中產生的計程車費用。,toeic_basic,1,Finance,Accounting,"TOEIC,Reading,Part5,Part7",n.
tips,/ˈtɪps/,小費,The restaurant staff relies on tips to supplement their income.,餐廳員工依靠小費來增加收入。,toeic_basic,1,HumanResources,Compensation,"TOEIC,Reading,Part5,Part7",n./v.
tour,/ˈtʊɹ/,觀光旅行,The company is offering a guided tour of the new factory for potential investors.,公司正在為潛在投資者提供新工廠的導覽遊。,toeic_basic,1,Manufacturing,Production,"TOEIC,Reading,Part5,Part7",n./v.
tours,/ˈtɔɹz/,旅遊行程,The travel agency offers a variety of guided tours to popular tourist destinations.,旅行社提供多種導覽旅遊行程，前往熱門的旅遊景點。,toeic_basic,1,Travel,Hospitality,"TOEIC,Reading,Part5,Part7",n.
towel,/ˈtaʊəɫ/,一種吸水性織物，通常由棉製成，用於擦拭或擦乾身體或物體。毛巾。,Please hang your wet towel to dry after showering.,淋浴後請將濕毛巾掛起來晾乾。,toeic_basic,1,Travel,Dining,"TOEIC,Reading,Part5,Part7",n./v.
town,/ˈtaʊn/,城鎮,The company is planning to open a new branch in a small town outside the city.,公司計畫在市郊的一個小鎮開設新分店。,toeic_basic,1,Technical,ITSupport,"TOEIC,Reading,Part5,Part7",n.
trip,/ˈtɹɪp/,差旅,The company will cover all expenses for your business trip to Tokyo.,公司將會支付您前往東京的商務差旅的所有費用。,toeic_basic,1,Travel,Hospitality,"TOEIC,Reading,Part5,Part7",n./v.
trips,/ˈtɹɪps/,差旅,The company reimburses employees for all business trips.,公司會退償員工所有的商務差旅費用。,toeic_basic,1,HumanResources,Compensation,"TOEIC,Reading,Part5,Part7",n./v.
wheel,/ˈhwiɫ/,車輪,"The company is investing in new, more durable wheels for its delivery trucks.",公司正在為其送貨車投資新的、更耐用的車輪。,toeic_basic,1,Logistics,Transit,"TOEIC,Reading,Part5,Part7",n./v.
windy,/ˈwaɪndi/,形容風勢強勁，有大風,The flight was delayed due to the windy conditions at the airport.,由於機場風勢強勁，航班延誤了。,toeic_basic,1,Travel,Transit,"TOEIC,Reading,Part5,Part7",adj.
adapt,/əˈdæpt/,適應，改編,It took him a while to adapt to the new environment.,他花了一段時間才適應新環境。,toeic_basic,1,Technical,ITSupport,"TOEIC,Reading,Part5,Part7",v.
agree,/əˈɡriː/,同意，一致,Both parties agree to the terms of the contract.,雙方均同意合同條款。,toeic_basic,1,Legal,Contracts,"TOEIC,Reading,Part5,Part7",v.
alter,/ˈɔːltər/,改變，更改,The tailor altered the jacket to fit him.,裁縫修改了夾克以適合他。,toeic_basic,1,Technical,ITSupport,"TOEIC,Reading,Part5,Part7",v.
banquet,/ˈbæŋkwɪt/,宴會，盛宴,The annual awards banquet takes place on Friday.,年度頒獎晚宴將於週五舉行。,toeic_basic,1,Travel,Hospitality,"TOEIC,Listening,Reading,Part3,Part7",n.
base,/beɪs/,基部，根據,The company is based in New York.,該公司總部位於紐約。,toeic_basic,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",n.
bias,/ˈbaɪəs/,偏見，偏袒,The journalist wrote the report without bias.,記者毫無偏見地撰寫了這篇報導。,toeic_basic,1,Technical,ITSupport,"TOEIC,Reading,Part5,Part7",v.
brief,/briːf/,簡短的，短暫的,Let's have a brief meeting before we start.,在我們開始之前，讓我們開個簡短的會。,toeic_basic,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",adj.
call,/kɔːl/,呼叫，電話,I will call a meeting for tomorrow afternoon.,我將召集明天下午的會議。,toeic_basic,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
cope,/koʊp/,應付，處理,We must cope with the market changes.,我們必須應對市場變化。,toeic_basic,1,Marketing,Sales,"TOEIC,Reading,Part5,Part7",n.
core,/kɔːr/,核心，中心,The core value of this school is respect.,這所學校的核心價值是尊重。,toeic_basic,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
count,/kaʊnt/,計算，數,We need to count the remaining inventory.,我們需要計算剩餘的庫存。,toeic_basic,1,Logistics,SupplyChain,"TOEIC,Reading,Part5,Part7",v.
crucial,/ˈkruːʃl/,關鍵的，至關重要的,Exercise plays a crucial role in staying healthy.,運動在保持健康中起著至關重要的作用。,toeic_basic,1,Travel,LogisticsAndTransit,"TOEIC,Listening,Reading,Part3,Part7",adj.
cycle,/ˈsaɪkl/,循環，週期,The product development cycle takes six months.,產品開發週期需要六個月。,toeic_basic,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
deal,/diːl/,交易，處理,We closed a deal with the new vendor.,我們與新廠商達成了一筆交易。,toeic_basic,1,Technical,ITSupport,"TOEIC,Reading,Part5,Part7",n.
delay,/dɪˈleɪ/,延遲，耽擱,Bad weather will delay the shipment.,惡劣的天氣將延誤出貨。,toeic_basic,1,Logistics,Transit,"TOEIC,Reading,Part5,Part7",v.
draft,/dræft/,草稿，起草,I have written the first draft of my essay.,我已經寫好了文章的初稿。,toeic_basic,1,Technical,ITSupport,"TOEIC,Reading,Part5,Part7",v.
drama,/ˈdrɑːmə/,戲劇，戲劇性事件,She loves watching television dramas.,她喜歡看電視劇。,toeic_basic,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
elect,/ɪˈlekt/,選舉，推選,The shareholders will elect a new chairman.,股東將選舉新董事長。,toeic_basic,1,CorporateGovernance,BoardOfDirectors,"TOEIC,Reading,Part5,Part7",v.
enter,/ˈentər/,進入，登記,Please enter your password to log in.,請輸入密碼登入。,toeic_basic,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
focus,/ˈfoʊkəs/,專注，聚焦,We need to focus on customer satisfaction.,我們需要專注於客戶滿意度。,toeic_basic,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
grant,/ɡrænt/,授予，准予,The bank will grant a loan for the project.,銀行將為該項目提供貸款。,toeic_basic,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
halt,/hɔːlt/,停止，中斷,Strike actions will halt factory production.,罷工行動將使工廠生產停頓。,toeic_basic,1,Manufacturing,Production,"TOEIC,Reading,Part5,Part7",v.
hire,/ˈhaɪər/,聘用，租用,The company decided to hire a consultant.,公司決定聘請顧問。,toeic_basic,1,HumanResources,Compensation,"TOEIC,Listening,Reading,Part3,Part7",v.
join,/dʒɔɪn/,加入，結合,She decided to join our marketing team.,她決定加入我們的行銷團隊。,toeic_basic,1,Marketing,Sales,"TOEIC,Reading,Part5,Part7",v.
voucher,/ˈvaʊtʃər/,憑證，折價券,Redeem this meal voucher at the cafeteria.,在員工餐廳兌換此餐券。,toeic_basic,1,Marketing,Sales,"TOEIC,Listening,Reading,Part3,Part7",n.
flyer,/ˈflaɪər/,宣傳單，傳單,Staff distributed promotional flyers at the mall.,員工在商場分發宣傳傳單。,toeic_basic,1,HumanResources,Compensation,"TOEIC,Reading,Part5,Part7",n.
vault,/vɔːlt/,金庫，保險庫,Cash deposits are secured in the underground vault.,現金存款存放在地下金庫中妥善保管。,toeic_basic,1,Technical,ITSupport,"TOEIC,Reading,Part5,Part7",n.
suite,/swiːt/,套房，組件,The executive suite features a scenic harbor view.,行政套房享有壯麗的港灣景致。,toeic_basic,1,CorporateGovernance,CorporateStrategy,"TOEIC,Reading,Part5,Part7",n.
valet,/væˈleɪ/,代客泊車，男管家,The restaurant offers convenient valet parking.,這家餐廳提供方便的代客泊車服務。,toeic_basic,1,Travel,Hospitality,"TOEIC,Reading,Part5,Part7",n.
cargo,/ˈkɑːrɡoʊ/,貨物，船貨,The freighter unloaded twenty tons of cargo safely.,這艘貨輪安全卸下了二十公噸的貨物。,toeic_basic,1,Logistics,Transit,"TOEIC,Reading,Part5,Part7",n.
about,/əˈbaʊt/,關於,The meeting is about the new marketing strategy.,這次會議是關於新的行銷策略。,toeic_basic,1,Marketing,Sales,"TOEIC,Reading,Part5,Part7",preposition/adv.
above,/əˈbəv/,在...上方,The temperature is expected to rise above 30 degrees Celsius today.,今天氣溫預計會升至攝氏30度以上。,toeic_basic,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",preposition/adv.
actor,/ˈæktɝ/,演員,The company hired a well-known actor to endorse their new product.,該公司聘請了一位知名的演員來代言他們的新產品。,toeic_basic,1,HumanResources,Compensation,"TOEIC,Reading,Part5,Part7",n.
add,/ˈæd/,增加,Could you please add this item to the purchase order?,您能請將此項目加入購買訂單嗎？,toeic_basic,1,Technical,ITSupport,"TOEIC,Reading,Part5,Part7",v.
adds,/ˈædz/,增加,The software update adds several new features to improve user experience.,這項軟體更新增加了幾個新功能，以提升使用者體驗。,toeic_basic,1,Technical,ITSupport,"TOEIC,Reading,Part5,Part7",v.
ads,/ˈædz/,廣告,The company launched a series of online ads to promote its new product.,該公司推出一系列線上廣告以推廣其新產品。,toeic_basic,1,HumanResources,Compensation,"TOEIC,Reading,Part5,Part7",n.
adult,/ˈædəɫt/,成年人,The company offers a comprehensive benefits package for all adult employees.,公司為所有成年員工提供全面的福利方案。,toeic_basic,1,HumanResources,Compensation,"TOEIC,Reading,Part5,Part7",n.
after,/ˈæftɝ/,在...之後,Let's discuss this after the meeting.,我們在會議結束後討論這件事吧。,toeic_basic,1,Corporate,DailyWork,"TOEIC,Reading,Part5,Part7",preposition/adv.
again,/əˈɡeɪn/,再次,Could you please repeat that again?,你可以再重複一次嗎？,toeic_basic,1,Corporate,Communication,"TOEIC,Reading,Part5,Part7",adv.
age,/ˈeɪdʒ/,年齡,The company has a policy of not discriminating based on age.,公司有不因年齡而歧視的政策。,toeic_basic,1,HumanResources,Recruitment,"TOEIC,Reading,Part5,Part7",n.
agent,/ˈeɪdʒənt/,代表，代理人,Our travel agent booked our flights and hotel.,我們的旅行社代理人幫我們預訂了機票和酒店。,toeic_basic,1,Travel,Transit,"TOEIC,Reading,Part5,Part7",n.
ago,/əˈɡoʊ/,…以前,The project was completed three months ago.,這個專案是三個月前完成的。,toeic_basic,1,Corporate,Communication,"TOEIC,Reading,Part5,Part7",adv.
ahead,/əˈhɛd/,在...之前,The project is currently ahead of schedule and we expect to complete it by next week.,該專案目前進度領先，我們預計下週完成。,toeic_basic,1,Technical,ITSupport,"TOEIC,Reading,Part5,Part7",adv./preposition
air,/ˈɛɹ/,空氣,The company is investing in air purification systems to improve indoor air quality.,公司正在投資空氣淨化系統以改善室內空氣品質。,toeic_basic,1,Finance,Investment,"TOEIC,Reading,Part5,Part7",n./v.
airline,/ˈɛɹˌɫaɪn/,航空公司,Our company has a partnership with several major airlines to offer discounted travel packages.,我們公司與多家主要航空公司合作，提供折扣旅遊套裝。,toeic_basic,1,Marketing,Sales,"TOEIC,Reading,Part5,Part7",n.
airport,/ˈɛɹˌpɔɹt/,機場，是飛機起降及旅客搭乘的設施。,The flight is scheduled to depart from Narita Airport at 10:00 AM.,這趟航班預計在上午 10:00 從成田機場起飛。,toeic_basic,1,Travel,Transit,"TOEIC,Reading,Part5,Part7",n.
all,/ˈɔɫ/,所有，全部,All the employees are required to attend the mandatory training session.,所有員工都必須參加強制性的培訓課程。,toeic_basic,1,HumanResources,Compensation,"TOEIC,Reading,Part5,Part7",determiner/pronoun
allow,/əˈɫaʊ/,允許,The manager will allow employees to work from home on Fridays.,經理將允許員工在星期五在家工作。,toeic_basic,1,HumanResources,Compensation,"TOEIC,Reading,Part5,Part7",v.
alone,/əˈɫoʊn/,獨自一人,The manager felt alone in his decision to restructure the department.,經理在重組部門的決定中感到孤單。,toeic_basic,1,CorporateGovernance,CorporateStrategy,"TOEIC,Reading,Part5,Part7",adj./adv.
along,/əˈɫɔŋ/,沿著,The project timeline will be adjusted along with the market trends.,專案時程將會隨著市場趨勢進行調整。,toeic_basic,1,Marketing,Sales,"TOEIC,Reading,Part5,Part7",preposition/adv.
also,/ˈɔɫsoʊ/,也,"She is a talented singer, and she also plays the piano.",她是一位才華洋溢的歌手，她也彈鋼琴。,toeic_basic,1,Corporate,Communication,"TOEIC,Reading,Part5,Part7",adv.
among,/əˈməŋ/,在...之中,She found her lost wallet among the piles of old newspapers.,她在舊報紙堆中找到了她遺失的錢包。,toeic_basic,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",preposition
